Migliaia di euro,31.12.2022 31.12.2021,Delta,Unnamed: 0,Migliaia di euro.1,31.12.2022,31.12.2021,Delta.1
Fondi per benefici per dipendenti,13.519 15.185,(1.666),,Passività finanziarie non correnti,1.892.036,2.261.910,(369.874)
Fondo rinnovo infrastrutture aeroportuali,233.978 216.871,17.107,,Prestiti obbligazionari,1.273.005,1.521.416,(248.411)
Altri fondi per rischi e oneri,22.479 24.612,(2.133),,Finanziamenti a medio-lungo termine,617.214,656.360,(39.146)
TOTALE,269.976 256.668,13.308,,Strumenti finanziari – derivati,0,81.230,(81.230)
di cui:,,,,Altre passività finanziarie non correnti,1.817,2.904,(1.087)
–  Quota corrente,84.047 61.036,23.011,,Altre attività finanziarie non correnti,(17.429),(718),(16.711)
–  Quota non corrente14,185.929 195.632,(9.703),,INDEBITAMENTO FINANZIARIO NETTO NON CORRENTE,1.874.607,2.261.192,(386.585)
,,,,Passività finanziarie correnti,382.674,76.375,306.299
"Il fondo di rinnovo, che accoglie il valore attuale della",Il patrimonio netto di pertinenza di Terzi si azzera,,,Quota corrente di passività finanziarie a medio-lungo termine,298.764,37.903,260.861
stima degli oneri da sostenere a fronte dell’obbligazione,"rispetto al 31 dicembre 2021 a seguito dell’acquisto, in",,,Strumenti finanziari derivati,83.910,38.472,45.438
contrattuale di ripristino e sostituzione dei beni in con-,"data 26 luglio 2022, da parte di ADR delle quote detenu-",,,Attività finanziarie correnti,(1.082.875),(665.316),(417.559)
"cessione, si incrementa di 17,1 milioni di euro, rispetto",te nel capitale di Fiumicino Energia S.r.l. da Finlombarda,,,,,,
,,,,Disponibilità liquide e mezzi equivalenti,(1.024.985),(661.640),(363.345)
"al saldo di fine 2021, per effetto degli accantonamenti","S.p.A. e Interfina S.r.l. (rispettivamente pari all’11,25% e",,,,,,
"dell’esercizio, che recepiscono i valori risultanti dall’ag-","all’1,61%); a seguito di tali operazioni, la partecipazione",,,Altre attività finanziarie correnti,(57.890),(3.676),(54.214)
giornamento degli interventi programmati di sostitu-,di ADR nella società risulta infatti essere pari al 100%.,,,INDEBITAMENTO FINANZIARIO NETTO CORRENTE,(700.201),(588.941),(111.260)
"zione/rinnovo inclusi nel piano aziendale aggiornato,",,,,INDEBITAMENTO FINANZIARIO NETTO,1.174.406,1.672.251,(497.845)
