Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,fondi ecce-,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,,,denti,,,,,,,,,
,,,,,,Prestiti obbligazionari 1.515.063,242.058,1.273.005,481.84,791.165,1.521.416,0.0,1.521.416
(migliaia di euro),,,,,,Finanziamenti a medio/lungo termine 656.637,39.423,617.214,357.584,259.630,674.244,17.884,656.360
Fondo imposte,7.133,0.0,(1.959),0,5.174,Ratei passivi debiti finanziari a medio/,,,,,,,
,,,,,,lungo termine 16.059,16.059,0,0.0,0,18.541,18.541,0
Fondi per vertenze in corso e Uti(l1i3zpotenziali,15.176,0.0,114,6z)i operativi,15.154,Altre passività finanziarie 2.611,1.06,1.551,1.391,160,3.925,1.333,2.592
Fondo assicurazioni interne,911.0,0.0,(54),0,857.0,,,,,,,,
,,,,,,TOTALE PASSIVITÀ FINANZIARIE A MEDIO/,,,,,,,
,,,,,,LUNGO TERMINE 2.190.370,298.6,1.891.770,840.815,1.050.955,2.218.126,37.758,2.180.368
Fondo copertura perdite,,,,,,,,,,,,,
partecipate,0.0,0.0,0,0,0.0,,,,,,,,
,,,,,,STRUMENTI FINANZIARI – DERIVATI 83.910,83.91,0,0.0,0,119.702,38.472,81.230
Fondo ristrutturazione,0.0,0.0,0,0,0.0,,,,,,,,
,,,,,,ALTRE PASSIVITÀ FINANZIARIE,,,,,,,
,,,,,,CORRENTI 38.031,38.031,0,0.0,0,13.636,13.636,0
TOTALE ALTRI FONDI PER,,,,31.12.2022,,,,,,,,,
RISCHI E ONERI,23.22,0.0,(1.899),(136),21.185,,,,,,,,
,,,,,,TOTALE PASSIVITÀ FINANZIARIE 2.312.311,420.541,1.891.770,840.815,1.050.955,2.351.464,89.866,2.261.598
di cui:,,,,,,,,,,,,,
quota corrente,3.531,,,,4.704,"Al 31 dicembre 2022, il 44% circa dei prestiti obbligazionari e dei finanziamenti a medio/lungo termine del Grup-",,,,,,,
,,,,,,po – considerando anche il contributo della linea di credito Revolving sottoscritta a ottobre 2022 e non erogata al,,,,,,,
quota non corrente,19.689,,,,16.481,,,,,,,,
