Unnamed: 0,Unnamed: 1,Unnamed: 2,(migliaia di euro) 2022,2021
Accantonamenti (riassorbimenti) fondi per rischi ed oneri (1.899),3.582,,ONERI FINANZIARI DA ATTUALIZZAZIONE DEL FONDO RINNOVO INFRASTRUTTURE AEROPORTUALI 1.191,(16)
Altri costi:,,,Interessi su prestiti obbligazionari 35.243,34.407
Accantonamenti per svalutazione crediti (891),136.95,,Interessi su finanziamenti a medio-lungo termine 8.924,8.761
Imposte indirette e tasse 5.258,6.458,,Interessi a imprese controllate 2,1
Oneri diversi  1.747,1.548,,Effetti dell’applicazione del metodo del costo ammortizzato 8.171,7.761
TOTALE ALTRI COSTI OPERATIVI 47.472,176.353,,Altri oneri finanziari per interessi 159,314
,,,TOTALE ONERI FINANZIARI PER INTERESSI  52.499,51.244
"La voce Canoni concessori, pari a 26.352 mila euro, si incrementa di 16.318 mila euro rispetto all’esercizio a",,,Valutazione derivati 13.458,0
confronto in quanto direttamente correlata all’andamento del traffico.,,,,
,,,Differenziali 14.021,11.601
La voce Accantonamenti (utilizzi) al fondo rinnovo infrastrutture aeroportuali include gli accantonamenti al fondo,,,,
,,,TOTALE ONERI SU DERIVATI 27.479,11.601
"rinnovo infrastrutture aeroportuali, iscritti al netto degli utilizzi a fronte dei costi sostenuti nell’esercizio,",,,,
,,,Oneri finanziari da attualizzazione benefici per i dipendenti 269,39
classificati per natura nella voce di conto economico corrispondente.,,,,
,,,Svalutazione di partecipazioni valutate al costo 1.156,0
Gli Accantonamenti (riassorbimenti) fondi per rischi ed oneri sono pari a -1.899 mila euro per l’effetto del,,,,
29riassorbimento di fondi preesistenti a seguito dell’esito favorevole di contenziosi in materia tributaria e,,,Altri oneri 29,
"giuslavoristica, parzialmente compensato dagli accantonamenti dell’esercizio (+3.582 mila euro di",,,TOTALE ALTRI ONERI 1.454,68
accantonamenti effettuati nel 2021). Per maggiori dettagli si rinvia alla Nota 5.14.,,,TOTALE ONERI FINANZIARI 82.623,62.897
