Contratto di lavoro e genere,UdM,2022,2021,Unnamed: 0,2020,Unnamed: 1,2019,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,,,,TABELLA 65 - Dipendenti appartenenti a categorie protette per tipologia contrattuale sul totale dipendenti,,,
TEMPO INDETERMINATO,No.,3.299,,3.191,,3.112,,3.104,,,,
Uomini,No.,2.093,,2.046,,1.958,,1.957,Categoria professionale UdM 2022 2021 2020,,2019,
Donne,No.,1.206,,1.145,,1.154,,1.147,Dirigenti % - - -,,-,
TEMPO DETERMINATO,No.,468.0,,154.0,,9.0,,455.0,Quadri % 5 5,5.0,,5.0
Uomini,No.,235.0,,60.0,,4.0,,188.0,Impiegati % 2 3,3.0,,3.0
Donne,No.,233.0,,94.0,,5.0,,267.0,Operai % 1 1,1.0,,1.0
TOTALE DIPENDENTI,No.,3.767,,3.345,,3.121,,3.559,,,,
Totale Uomini,No.,2.328,,2.106,,1.962,,2.145,TABELLA 65 - Dipendenti appartenenti a categorie protette sul totale dipendenti,,,
Totale Donne,No.,1.439,,1.239,,1.159,,1.414,,,,
