Unnamed: 0,Unnamed: 1,31.12.2022,Unnamed: 2,2022,Unnamed: 3,31.12.2021,Unnamed: 4,2021,Unnamed: 5
,(migliaia di euro),Attività Passività,Ricavi,Costi,,Attività Passività,Ricavi,,Costi
,IMPRESE CONTROLLANTI,,,,,,,,
,Atlantia S.p.A.,26.689 621,94,(783),,75.722 185,241,,(730)
,TOTALE RAPPORTI CON IMPRESE,,,,,,,,
,CONTROLLANTI,26.689 621,94,(783),,75.722 185,241,,(730)
,IMPRESE CONTROLLATE,,,,,,,,
,ADR Assistance S.r.l.,1.257 4.099,2.142,(23.561),,648 3.486,1.553,,(16.454)
09,ADR Tel S.p.A. ADR Mobility S.r.l. ADR Security S.r.l.,3.155 5.016 1.733 11.618 6.715 355,1.339 25.210 4.014,(29.784) (53.999) (2.211),,470 3.077 1.116 9.502 7.360 696,1.114 15.094 3.197,,(29.358) (37.594) (2.312)
,Airport Cleaning S.r.l.,1.612 4.106,3.289,(22.815),,1.001 3.385,2.350,,(16.172)
,ADR Ingegneria S.p.A.,977 10.632,1.154,(13.246),,887 8.494,723,,(11.039)
Rapporti con parti,ADR Infrastrutture S.p.A. Leonardo Energia S.c.ar.l. (*),1.608 1.058 62.310 9.520,607 168,(110.128) (28.380),,182 10 25.632 4.136,156,75.0,(69.204) (10.030)
,Fiumicino Energia S.r.l. (*),112 45,288,(25),,32 30,84,,(30)
correlate,TOTALE RAPPORTI CON IMPRESE IMPRESE COLLEGATECONTROLLATE,16.528 109.400,38.211,(284.149),,7.423 62.721,24.346,,(192.193)
,Ligabue Gate Gourmet S.p.A. in fall.,482 968,,0 0,,482 968,,0.0,0
,Spea Engineering S.p.A.,74 1.157,133,0,,74 1.443,43,,(1.499)
,TOTALE RAPPORTI CON IMPRESE,,,,,,,,
,COLLEGATE,556 2.125,133,0,,556 2.411,43,,(1.499)
,JOINT VENTURE,,,,,,,,
,Urban V S.p.A.,11 64,,11 (41),,0 0,,0.0,0
Le operazioni compiute da ADR con le parti correlate sono state effettuate nell’interesse della Società e fanno,TOTALE RAPPORTI CON JOINT VENTURE,11 64,,11 (41),,0 0,,0.0,0
parte della ordinaria gestione. Tali operazioni sono regolate su basi equivalenti a quelle prevalenti in transazioni,PARTI CORRELATE,,,,,,,,
tra parti indipendenti.,Leonardo Energia S.c.ar.l. (*),0 0,,0 0,,0 0,,79.0,(6.781)
Nel corso dell’esercizio non sono state concluse operazioni di maggiore rilevanza o altre operazioni che abbiano,Fiumicino Energia S.r.l. (*),0 0,,0 0,,0 0,93,,0
influito in misura rilevante sulla situazione patrimoniale o sui risultati della Società.,Autostrade per l’Italia S.p.A. (**),0 0,,0  0,,7 2,,41.0,(88)
,Autogrill Italia S.p.A.,6.524 74,13.762,(129),,1.509 85,3.614,,(154)
,Autostrade Tech S.p.A. (**),0 0,,0  0,,0 23,,0.0,0
,Consorzio Autostrade Italiane Energia,0 0,,0  (71),,0 0,,0.0,(25)
,Retail Italia Network S.r.l.,100 0,242,0,,37 0,129,,0
,Telepass S.p.A.,51 0,,0  0,,51 0,,0.0,0
,Essediesse S.p.A. (**),0 0,,0 0,,10 0,,8.0,0
,K-Master S.r.l.,0 167,,0 (7),,0 0,,0.0,0
,Maccarese S.p.A. Società Agricola,0 0,,0 0,,0 0,,0.0,(8)
,Aeroporto Guglielmo Marconi di Bologna,,,,,,,,
,S.p.A.,4 0,22,0,,8 0,28,,0
,AD Moving S.p.A. (**),0 0,,0 0,,0 0,,0.0,(10)
,Amplia Infrastructures S.p.A. (già,,,,,,,,
,,0 0,,0  0,,217 63,,4.0,(26)
,Pavimental S.p.A.) (**),,,,,,,,
,PTSCLAS S.p.A.,0 15,,0 (15),,0 0,,0.0,(2)
,Key Management Personnel,0 1.316,,0 (2.486),,0 483,,0.0,(1.530)
,TOTALE RAPPORTI CON PARTI CORRELATE,6.679 1.572,14.026,(2.708),,1.839 656,3.996,,(8.624)
,TOTALE,50.463 113.782,52.475,(287.681),,85.540 65.973,28.626,,(203.046)
