Unnamed: 0,Attività,Passività,Proventi,Oneri,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
IMPRESE CONTROLLATE,,,,,,,,
ADR Assistance S.r.l.,0.0,2.965,0.0,0,0.0,173.0,0.0,0
ADR Tel S.p.A,0.0,13.877,0.0,(20),0.0,10.931,0.0,(14)
ADR Security S.r.l.,0.0,5.974,0.0,0,0.0,2.243,0.0,0
ADR Mobility S.r.l.,0.0,3.548,0.0,0,0.0,1.0,0.0,0
Airport Cleaning S.r.l.,0.0,4.001,0.0,0,0.0,2.252,0.0,0
ADR Ingegneria S.p.A.,2.554,0.0,66.0,0,1.938,0.0,10.0,0
ADR Infrastrutture S.p.A.,13.0,0.0,145.0,0,5.055,0.0,56.0,0
Leonardo Energia S.c.ar.l.,0.0,63.0,25.0,0,0.0,0.0,0.0,0
Fiumicino Energia S.r.l.,0.0,9.0,0.0,0,0.0,0.0,0.0,0
TOTALE RAPPORTI CON IMPRESECONTROLLATE,2.567,39.428,236.0,(20),6.993,15.6,66.0,(14)
IMPRESE CORRELATE,,,,,,,,
Spea Engineering S.p.A.,1.35,0.0,0.0,0,1.35,0.0,0.0,0
TOTALE RAPPORTI CON PARTICORRELATE,1.35,0.0,0.0,0,1.35,0.0,0.0,0
TOTALE,3.917,39.428,236.0,(20),8.343,15.6,66.0,(14)
