Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,"odierna risultano pervenute circa 170 richieste di risarcimento danni (vettori, handler, subconcessionari e passegge-"
,,,,,,,,"ri), solo in parte supportate da una quantificazione puntuale, per danni che ammontano complessivamente, ad oggi,"
,31.12.2021,ACC.TI,EFFETTO AT- TUALIZZAZ.,,UTILIZZI OPERATIVI (*),,31.12.2022,a circa 19 milioni di euro.
,,,,,,,,Per dettagli sui contenziosi in essere si rinvia alla Nota 9.5 Contenzioso.
(migliaia di euro),,,,,,,,
Fondo rinnovo infrastrutture aeroportuali,216.871,56.964,1.223,,(41.080),,233.978,
,,,,,,,,6.15 Passività finanziarie (quota corrente e non corrente)
di cui,,,,,,,,
quota corrente,55.138,,,,,,76.548,
,,,,,,,,31.12.2022 31.12.2021
quota non corrente,161.733,,,,,,157.430,
