Indicatori di performance GRI,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Tipo di contratto e area,UdM,2022,2021,Unnamed: 6,2020,Unnamed: 7,2019,Unnamed: 8
,,,,,,,TEMPO INDETERMINATO,No.,3.299,,3.191,,3.112,,3.104
9.4.1 Indicatori di performance GRI – Persone,,,,,,,FCO,No.,3.025,,2.908,,2.847,,2.835
,,,,,,,CIA,No.,274.0,,283.0,,265.0,,269.0
TABELLA 60 - Organico del Gruppo ADR suddiviso per genere,,,,,,,,,,,,,,,
,,,,,,,TEMPO DETERMINATO,No.,468.0,,154.0,,9.0,,455.0
Genere UdM 2022,2021.0,,2020.0,,2019.0,,FCO,No.,445.0,,138.0,,9.0,,411.0
Donne % 38,,37.0,,37.0,,40.0,CIA,No.,23.0,,16.0,,0.0,,44.0
Uomini % 62,,63.0,,63.0,,60.0,TOTALE,No.,3.767,,3.345,,3.121,,3.559
,,,,,,,Totale FCO,No.,3.47,,3.046,,2.856,,3.246
TABELLA 61 - Dipendenti per contratto di lavoro e genere,,,,,,,Totale CIA,No.,297.0,,299.0,,265.0,,313.0
