Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,31.12.2022,Unnamed: 6,Unnamed: 7,Unnamed: 8,31.12.2021,Unnamed: 9
quota non corrente 161.733,157.430,,,,,,,,,,
(*) di cui utilizzi per costi esterni pari a 38.473 mila euro e utilizzi relativi al costo del personale pari a euro 2.607 mila euro.,,,,,,,,,,,
Il Fondo rinnovo infrastrutture aeroportuali accoglie il valore attuale della stima aggiornata degli oneri da sostenere,,,(migliaia di euro),,,,,,,,
"per manutenzioni straordinarie, ripristini e sostituzioni di beni ed impianti a fronte dell’obbligazione contrattuale a",,,,,,,,,,,
,,,PASSIVITÀ FINANZIARIE A MEDIO/LUNGO TERMINE,,,,,,,,
carico del concessionario gestore di assicurare la dovuta funzionalità e sicurezza dell’infrastruttura aeroportuale.,,,,,,,,,,,
,,,Prestiti obbligazionari,1.515.063,242.058,1.273.005,481.84,791.165,1.521.416,0.0,1.521.416
6.14 Altri fondi per rischi e oneri (quota non corrente e corrente),,,Finanziamenti a medio/lungo termine,656.637,39.423,617.214,357.584,259.630,674.244,17.884,656.360
,,,Ratei passivi debiti finanziari a medio/lungo termine,16.059,16.059,0,0.0,0,18.541,18.541,0
,,,Altre passività finanziarie,3.041,1.224,1.817,1.613,204,4.382,1.478,2.904
,DECREMENTI,,,,,,,,,,
31.12.2021,ACC.TI PER STORNO FONDI OPERATIVI UTILIZZI 31.12.2022,,Totale passività finanziarie a medio/lungo termine,2.190.800,298.764,1.892.036,841.037,1.050.999,2.218.583,37.903,2.180.680
,ECCEDENTI,,,,,,,,,,
(migliaia di euro),,,Strumenti Finanziari – Derivati,83.910,83.91,0,0.0,0,119.702,38.472,81.230
Fondo imposte 7.133,0 (1.975) 0 5.158,,,,,,,,,,
,,,TOTALE PASSIVITÀ FINANZIARIE,2.274.710,382.674,1.892.036,841.037,1.050.999,2.338.285,76.375,2.261.910
