Unnamed: 0,Unnamed: 1,31.12.2022,Unnamed: 2,Unnamed: 3,31.12.2021,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,,,,,Quota corrente,,(migliaia di euro),,,,,
,,,,,,,IMPOSTE ANTICIPATE,,,,,
,,,,,,,Accantonamenti (utilizzi) del fondo rinnovo,,,,,
,,,,,,,infrastrutture aeroportuali,29.971,2.961,(2.504),0,30.428
(migliaia di euro),,,,,Quota non cor-,,,,,,,
,,,,,rente,,Accantonamenti a fondo svalutazione magazzino,43.0,12.0,0,0,55
ALTRE ATTIVITÀ FINANZIARIE,,,,,,,,,,,,
,,,,,,,Accantonamenti a fondo svalutazione crediti,39.155,0.0,(509),0,38.646
Derivati con fair value attivo,54.654,54.654,0.0,1.9,1.900 0,,,,,,,
,,,,,,,Costo ammortizzato e strumenti derivati,24.179,0.0,(25),(25.776),(1.622)
Altre attività finanziarie,20.665,3.236,17.429,2.494,1.776 Valore di bila7n18-,,,,,,,
,,,,,cio,,,,,,,
,,,,,,,Fondi rischi e oneri,4.486,466.0,(886),0,4.066
TOTALE ALTRE ATTIVITÀ FINANZIARIE,75.319,57.89,17.429,4.394,3.676 718,,,,,,,
