(migliaia di euro),Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Saldo al 31 Dicembre 2020,62.225,12.462,667.389,(111.732),197,(27.591),532.607,(143.684),991.873,0,991.873
Utile (perdita) dell’esercizio,,,,,,,,(38.035),(38.035),77,(37.958)
Altre componenti dell’utile complessivo:,,,,35.245,9,(13.020),(324),,21.910,0,21.910
"Utili (perdite) da valutazione al fair value degli strumentiderivati (cash flow hedge), al netto dell’effetto fiscale",,,,35.245,,,,,35.245,0,35.245
"Utili (perdite) da valutazione attuariale di fondi perbenefici ai dipendenti, al netto dell’effetto fiscale",,,,Capi,ale sociale,,(324),,(324),0,(324)
Quota di pertinenza delle “Altre componenti dell’utile complessivo”partecipazioni valutate con il metodo del patrimonio netto,,,,Riser,9a legale,,,,9,0,9
Utili (perdite) da valutazione al fair value delle partecipazioni,,,,,,(13.020),,,(13.020),0,(13.020)
Utile (perdita) complessivo dell’esercizio,,,,35.245,9,(13.020),(324),(38.035),(16.125),77,(16.048)
Destinazione perdita dell’esercizio precedente,,,,,,,(143.684),143.684,0,0,0
Operazioni “under common control”,,,,azio,i,,(8.776),,(8.776),2.718,(6.058)
Altre variazioni,,,,,24,,(25),,(1),0,(1)
Saldo al 31 Dicembre 2021,62.225,12.462,667.389,(76.487),230,(40.611),379.798,(38.035),966.971,2.795,969.766
Utile (perdita) dell’esercizio,,,,Riserstru,a valutazioneenti finanziari,,,45.059,45.059,0,45.059
Altre componenti dell’utile complessivo:,,,,deriv8h1.6e3d0g,ti di cash (low)(26),,1.234,,82.838,0,82.838
"Utili (perdite) da valutazione al fair value degli strumentiderivati (cash flow hedge), al netto dell’effetto fiscale",,,,81.630,,,,,81.630,0,81.630
"Utili (perdite) da valutazione attuariale di fondi perbenefici ai dipendenti, al netto dell’effetto fiscale",,,,Riserrtecimet,a valutazioneazionin ildo del patrimonio,,1.234,,1.234,0,1.234
Quota di pertinenza delle “Altre componenti dell’utile complessivo”partecipazioni valutate con il metodo del patrimonio netto,,,,,(26),,,,(26),0,(26)
Utili (perdite) da valutazione al fair value delle partecipazioni,,,,,,,,,0,0,0
Utile (perdita) complessivo dell’esercizio,,,,8R1.6is3e0r,a da utili/(26),,1.234,45.059,127.897,0,127.897
Destinazione perdita dell’esercizio precedente,,,,al faipart,vaule dicipazioni,,(38.035),38.035,0,0,0
Operazioni relative a società controllate,,,,,,,1.309,,1.309,(2.795),(1.486)
Saldo al 31 Dicembre 2022,62.225,12.462,667.389,5.143,204,(40.611),344.306,45.059,1.096.177,0,1.096.177
