Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,"Al 31 dicembre 2022, il rating creditizio assegnato dalle agenzie Fitch, Moody’s e S&P all’emittente ADR e alle sue"
,,,,,,,Periodi-,,
,,,,,,,cita’ pa-,,"emissioni obbligazionarie è rispettivamente pari a BBB- (outlook “stable”), Baa2 (outlook “negative”) e BBB (outlo-"
Denominazione,,,,,,,gamento,,Differenze
,,,,,,,interessi,,ok “stablec”a).m bio
Classe A4 (*),215.0,GBP,242.058,"5,441%",semestrale,bullet,20 anni,2.2023,
,,,,,,,,,Di seguito una sintesi delle ultime decisioni assunte dalle agenzie:
"€500.000.000 1,625% EMTN",,,,,,,,,
06.2027,500.0,EUR,481.840,"1,625%",annuale,bullet,10 anni Rimborso,6.2027,"– in data 25 luglio l’agenzia S&P ha rivisto al rialzo il rating assegnato alla Società, da BBB- (con outlook “positi-"
"€300.000.000 1,625% EMTN 02.2029 – “GREEN BOND”",300.0,EUR,298.275,"1,625%",annuale,bullet,8 anni e 2 mesi,2.2029,ve”) aE fBfBetBto ( con outlook “stable”). La decisione riflette il miglioramento del rating di Atlantia (BB+ con outlook costo
"“stabalme”m);ortiz-€500.000.000 1,750% EMTN",,,,,,,,,
07.2031 – “SUSTAINABILITY-,500.0,EUR,492.890,"1,750%",annuale,bullet,10 anni,7.2031,zato
LINKED BOND”,,,,,,,Duratea 3  mesi,,– in data 25 ottobre l’agenzia Moody’s ha migliorato il rating da Baa3 (con outlook “positive”) a Baa2 (con outlook
,,,,,,,totale,,
TOTALE PRESTITI,,,1.515.063,,,,,,“negative”). L’outlook “negative” riflette i vincoli determinati dal rating attualmente assegnato dall’agenzia alla
