Relazione,gestione,Bilancio consolis,dato Bilar,ncio di Esercizio,Delibera de,[Assemblea,,,,,
Prospetto delle Jatrimonio netto ,riazio conso,nid Lidan,el '0,,,,,,,,
(migliaia di euro),: 8,; [,1 81,; I 8 5 Ili,| 2 1 ; [ Ii,| 5 8 Il 1,1 ; [ Ml,1 | 9,:,5 ; 1 1,; 1 ;
Saldo al 31 Dicembre 2020,62.225,12.462,667.389,(111.732),197,(27.591),532.607,(143.684),991.873,991.873,
Utile (perdita) dellesercizio,38.035),38.035),(37.958),,,,,,,,
Altre componenti dell utile complessivo:,55.245,(13.020),(324),21.910,21.910,,,,,,
Utlll (peralce) aa valutazione al Talr value aegll scrumencl derivati (cash flow hedge) al netto dell'effetto fiscale,35.245,35.245,35.245,,,,,,,,
Utili (perdite) da valutazione attuariale di fondi per benefici ai dipendenti; al netto dell'effetto fiscale,(324),(324),(324),,,,,,,,
"Quota di pertinenza delle ""Altre componenti dell'utile complessivo"" partecipazioni valutate con il metodo del patrimonio netto",,,,,,,,,,,
Utili (perdite) da valutazione al fair value delle partecipazioni,(13.020),(13.020),(13.020),,,,,,,,
Utile (perdita) complessivo dell'esercizio,35.245,(13.020),(324),(38.035),(16.125),(16.048),,,,,
Destlrazlone peralla Gell eseiclzlo precegenle Onorazioni dor Conna,7740.084) 7761,145.084,7761,710,O5oi,,,,,,
"Operazioni 'under common control""",(8.776),(8.776),2.718,(6.058),,,,,,,
Operazioni under common control,(8.776),(8.776),2.718,6.058),,,,,,,
Altre variazioni,24,(25),,,,,,,,,
Saldo al 31 Dicembre 2021,62.225,12.462,667.389,(76.487),230,(40.611),379.798,(38.035),966.971,2.795,969.766
Utile (perdita) dell'esercizio,45.059,45.059,45.059,,,,,,,,
Altre componenti dell'utile complessivo:,81.630,(26),1.234,82.838,82.838,,,,,,
Utili (perdite) da valutazione al fair value degli strumenti derivati (cash flow hedge) al netto dell'effetto fiscale,81.630,81.630,81.630,,,,,,,,
Utili (perdite) da valutazione attuariale di fondi per benefici ai dipendenti; al netto dell'effetto fiscale,1.234,1.234,1.234,,,,,,,,
"Quota di pertinenza delle ""Altre componenti dell'utile complessivo"" partecipazioni valutate con il metodo del patrimonio netto",(26),(26),(26),,,,,,,,
Utili (perdite) da valutazione al fair value delle partecipazioni,,,,,,,,,,,
Utile (perdita) complessivo dell'esercizio,81.630,(26),1.234,45.059,127.897,127.897,,,,,
Destinazione perdita dell'esercizio precedente,(38.035),38.035,,,,,,,,,
Operazioni relative a società controllate,1.309,1.309,(2.795),(1.486),,,,,,,
Saldo al 31 Dicembre 2022,62.225,12 462,667.389,5.143,204,(40.611),"344,306",45.059,1096.177,1096.177,
