Relazione sulla gestione Bilancio consolidato,Relazione sulla gestione Bilancio consolidato,0 consolidato Bilancio di Esercizio,Bilancio di Esercizio,Delibera dell'A:,ssemble
,,,,,
Proventi finanziari del 2021 includevano la variazione po=,Proventi finanziari del 2021 includevano la variazione positiva,la variazione positiva del fair value dei contr,sitiva del fair value dei contrati,tti di cross curren,cy swap
per la componente tasso di cambio euro/sterlina a copert dal 0009 +alo varaziona à fafa nodatiua 0viono Nuindiic,per la componente tasso di cambio euro/sterlina a copertura dal 0009 +alo varaziona cfafanodatiua uiono quindiiccritt,sterlina a copertura delle obbligazioni A4 em 0 viono Quindiiccritfa Olionor; finanziari,tura delle obbligazioni A4 emes oritfa Olionor; finanziari,esse in sterline. N,el corso
del 2022 tale variazione è stata negativa e viene quindi ise,del 2022 tale variazione è stata negativa e viene quindi iscritt,viene quindi iscritta tra gli oneri finanziari.,critta tra gli oneri finanziari.,,
Oneri finanziari,Oneri finanziari,,,,
(migliaia di euro),(migliaia di euro),2022,2021,,
ONERI FINANZIARI DA ATTUALIZZAZIONE DEL FONDO RINNOVO INFRASTF,ONERI FINANZIARI DA ATTUALIZZAZIONE DEL FONDO RINNOVO INFRASTRUTTU,0 RINNOVO INFRASTRUTTURE AEROPORTUALI,RUTTURE AEROPORTUALI,1.191,"(16"""
Interessi su prestitl obbligazionari,Interessi su prestitl obbligazionari,55.243,54.40,,
Inceresst su rinanzlamentl amealo-lungo cermine,Inceresst su rinanzlamentl amealo-lungo cermine,8.924,8./0,,
Effetti dell'applicazione del metodo del costo ammortizzato,Effetti dell'applicazione del metodo del costo ammortizzato,7.76,,,
Effetti dell'applicazione del metodo del costo ammortizzato,Effetti dell'applicazione del metodo del costo ammortizzato,8.171,7.76,,
Altri oneri finanziari per interessi,Altri oneri finanziari per interessi,159,314,,
TOTALE ONERI FINANZIARI PER INTERESSI,TOTALE ONERI FINANZIARI PER INTERESSI,52.499,51.244,,
Valutazione derivati,Valutazione derivati,13.458,,,
Differenziali,Differenziali,14.021,11.60,,
TOTALE ONERI SU DERIVATI,TOTALE ONERI SU DERIVATI,27.479,11.60,,
Oneri finanziari da attualizzazione benefici per i dipendenti,Oneri finanziari da attualizzazione benefici per i dipendenti,enti,269,,
Svalutazione di partecipazioni valutate al costo,Svalutazione di partecipazioni valutate al costo,1.156,,,
Altri oneri,Altri oneri,29,,,
TOTALE ALTRI ONERI,TOTALE ALTRI ONERI,1.454,,,
TOTALE ONERI FINANZIARI,TOTALE ONERI FINANZIARI,82.623,62.897,,
