,,,,,
Le Altre attività finanziarie correnti sor,pari a 3.236 m,ila euro (1.776 m,ila euro al 31 dic,embre 2021) e si,
incrementano rispetto a dicembre 202,principalmente,per ('iscrizione,di ratei attivi p,er interessi matu,rati sui time
deposit; la voce include; inoltre; il credi,0 verso la colle,gata Spea Engir,eering Sp.A: pe,r1.350 mila euro,", a fronte dei"
dividendi deliberati nel 2018 e non ance,a corrisposti_,,,,
5.5 Attività per imposte,nticipate,2,,,
Le Attività per imposte anticipate son- delle differenze temporanee è rappres,esposte al net ntata nella se,to di passività guente tabella:,er imposte difu,erite compensa,bili. La natur
31.12.2021,Variazione,31.12.2022,,,
(migliaia di euro),h,1,741 3 1 9 Ja,,
IMPOSTE ANTICIPATE,,,,,
IMPUSIE ANIICIFAIE Accantonamentilutilizzi) del fondo rinnovo,,,,,
Accantonamenti a fondo svalutazione magazzino,43,12,,,
Accantonamenti a fondo svalutazione crediti,39.155,(509),38.64,,
Costo ammortizzato e strumenti derivati,24.179,(25),(25.776),(1.62,
Fondi rischi e oneri,4.486,466,(886),4.06,
Perdite fiscali e ACE,30.478,795,(23.455),7.81,
Altre,1.416,461,(404),(207),1.26
TOTALE IMPOSTE ANTICIPATE,129.728,4.695,(27.783),(25.983),80.65
IMPOSTE DIFFERITE COMPENSABILI,,,,,
Costo ammortizzato strumenti derivati,16,,,,
Applicazione IFRIC 12,38.026,1.234,(1.804),37.45,
TOTALE IMPOSTE DIFFERITE,38.042,1.234,(1.804),37.47,
TOTALEIMPOSTE ANTICIPATE NETTE,91.686,"3,461","(25, 979)","(25,983)",4318
