,,,,,
Relazione sulla gestione,Bilancio consolidato,Bilancio di,i Esercizio,Delibera del,lAssemble
Patrimonio netto e passività (Euro),Note,31.12.2022 di,di cui correlate,31.12.2021,di cui correlate
PATRIMONIO NETTO,,,,,
Capitale sociale,62.224.743,62.224.743,,,
Riserve e utili portati a nuovo,977.950.316,940.540.015,,,
Utile (perdita) dell'esercizio,30.740.510,(44.867.618),,,
TOTALE PATRIMONIO NETTO,5.11,1.070.915.569,957.897.140,,
PASSIVITÀ,,,,,
PASSIVITÀ NON CORRENTI,,,,,
Fondi per benefici per dipendenti,5.12,7.533.292,8.792.342,,
Fondo rinnovo infrastrutture aeroportuali,5.13,152.493.633,155.554.845,,
Altri fondi per rischi ed oneri,5.14,16.481.165,19.689.010,,
Fondi per accantonamenti non correnti,176.508.090,184.036.197,,,
Prestiti obbligazionari,1.273.004.965,1.521.415.789,,,
Finanziamenti a medio-lungo termine,617.213.580,656.359.626,,,
Strumenti finanziari derivati,81.230.275,,,,
Strumenti finanziari derivati,81.230.275,,,,
Altre passività finanziarie,1.551.533,823.431,2.591.603,1.397.042,
Allre passlvlla |nlanzlanle,I.oo/.Jo0,"820,401",C.o9i.ou9,1.09/.04,
Passività finanziarie non correnti,5.15,1.891.770.078,823.431,2.261.597.293,1.397.042
a9ivild Ianzlai(enuncui,1.091 7u.ui0,Oc9,coiusicJu,1.9/u4,
Altre passività non correnti,5.16,2.950.847,358.282,985.957,
paal(cafiun Sn) DacciÀ ALcncrp,)l,aiG]t 094 000 05,"JJU,ol s","JUJ, ",
TOTALE PASSIVITÀ NON CORRENTI,2.071.229.015,1.181.713,2.446.619.447,1.397.042,
TUTACEFAJOIiANUN CUKKENN,"uccs,uid",Ilomno,"0440,019444/",I99ru4,
PASSIVITÀ CORRENTI,,,,,
PASSIVIIA CURRENII,,,,,
Fondi per benefici per dipendenti,5.12,992.196,614.790,,
Fondo rinnovo infrastrutture aeroportuali,5.13,72.517.863,53.287.409,,
Altri fondi per rischi ed oneri,5.14,4.704.000,3.530.948,,
Fondi per accantonamenti correnti,78.214.059,57.433.147,,,
Debiti commerciali,5.17,232.218.552,112.464.914,159.859.657,65.490.363
Passività commerciali,232.218.552,112.464.914,159.859.657,65.490.363,
Quota corrente passività finanziarie a medic termine,lio-lungo,298.600.384,573.611,37.758.077,567.37C
Strumenti finanziari derivati,83.910.234,38.472.489,,,
Altre passività finanziarie correnti,38.030.846,38.030.846,13.635.893,13.635.91,
Passività finanziarie correnti,5.15,420.541.464,38.604.457,89.866.459,14.203.28
Passività per imposte correnti,5.8,10.682.564,7.320.326,,
Altre passività correnti,5.18,167.018.095,958.692,135.079.075,482.98E
TOTALE PASSIVITÀ CORRENTI,908.674.734,152.028.063,449.558.664,80.176.632,
TOTALE PASSIVITÀ E PATRIMONIO NETTC,4.050.819.318,153.209.776,3.854.075.251,81.573.674,
