,,,,,
,,,,,
5 Attività per impost,2 anticipat,e,,,
Attività per imposte anticipate so lle differenze temporanee è rappre,10 esposte al ne sentata nella se,to di passività p guente tabella:,rimposte,Jifferite compensa,ili. La natura
31.12.2021,VARIAZIONE,31.12.2022,,,
'migliaia di euro),Accantonamenti,Rilasci,Imposte Antic. Diff. su Proventil Oneri rilevati nel PN,,
IMPOSTE ANTICIPATE,,,,,
Accantonamenti (utilizzi) del fondo rinnovo infrastrutture aeroportuali,32.872,3.355,(2.824),33.402,
Accantonamenti a fondo svalutazione magazzino,12,,,,
Accantonamenti a fondo svalutazione crediti,39.235,(526),38.714,,
Costo ammortizzato e strumenti derivati,24.182,(25),(25.778),(1.621),
Fondi rischi e oneri,5.367,(1.162),4.892,,
Perdite fiscali e ACE,31.875,791,(24.840),7.826,
Altre,1.315,506,(561),(390),870
Totale Imposte Anticipate,134.887,5.357,(29.938),(26.168),84.138
IMPOSTE DIFFERITE COMPENSABILI,,,,,
Applicazione IFRIC 12,43.939,1.092,(1.145),43.886,
Altre,497,(20),,,
Totale Imposte Differite,44.436,1.092,(1.165),44.363,
TOTALE IMPOSTE ANTICIPATE NETTE,90.451,4.265,(28.773),(26.168),39.775
