,,,,,
TABELLA 67 Dipendenti per cate,goria professionale e fasce,di età,,,
Fasce detà,UdM,2022,2021,2020,2019
DIRIGENTI,%,"1,7","1,7",,
<30,"0,0","0,0",,,
30-50,"0,8","0,9","0,9",,
>50,"0,9",,,,
QUADRI,"8,2","8,9","8,9",,
<30,,,,,
30-50,"5,0","5,5","5,3",,
>50,"3,2","3,4",,,
QUADRI,"55,2","55,4","55,1",,
<30,"35,3","2,8","2,1",,
30-50,"4,4","36,5","36,7","37,",
>50,"15,5","16,0","16,4",13,
TOTALE DIPENDENTI,"35,0","34,1","34,3",,
<30,"20,4","0,8","1,2",,
30-50,"2,6","20,5","21,7","22,5",
