quota non corrente,161.733,157.430,,,
,,,,,
di cui utilizzi per costi esterni pari a 38.473 mila euro,utilizzi relativi al costo del,personale pari,euro 2.607 mila,euro.,
r manutenzioni straordinarie; ripristini e irico del concessionario gestore di assicu,ostituzioni di beni ed are la dovuta funziona,impianti a lità e sicure,onte dell'obb zza dell'infras,ligazione con truttura aero,rattuale a portuale.
14 Altri fondi per rischi e,neri (quota n,on corr,ente e cC DECREMENTI Dfr Stopno,rrente),
(migliaia di euro),31.12.2021,ACCTI,DECREMENTI PER STORNO FONDI ECCEDENTI,UTILIZZI OPERATIVI,31.12.2022
Fondo imposte,7.133,(1.975),5.158,,
Fondi per vertenze in corso e potenziali,16.561,884,(633),(363),16.449
Fondo assicurazioni interne,918,(46),872,,
Fondo copertura perdite partecipate,,,,,
Fondo ristrutturazione,,,,,
TOTALE ALTRI FONDI PER RISCHI E ONERI,24.612,884,(2.654),(363),22.479
di cui,,,,,
quota corrente,4.923,5.998,,,
auota non corrente,19.689,16.481,,,
