TOTALE CONSUMO DI MATERIE PRIME E MATERIALI DI CONSU,TOTALE CONSUMO DI MATERIE PRIME E MATERIALI DI CONSUMO,10.886,10.886,10.886,8.58
'incremento di 2.298 mila euro rispetto all'esere,'incremento di 2.298 mila euro rispetto all'esercizio precedente è ascrivibile pris,è ascrivibile principalmente ai costi per,e principalmente ai costi per,rincipalmente ai costi per,materia
vari e di pulizia; energia elettrica; gas e acqua.,vari e di pulizia; energia elettrica; e acqua gas,,,,
costi relativi all'energia elettrica recepiscono la re,costi relativi all'energia elettrica recepiscono la rettifica positiva delle maggiori ace,delle maggiori accise versate nel periodo 1/1/2,ri accise versate nel periodo 1/1,ccise versate nel periodo 1/,/2011 -
31/05/2012 per 958 mila euro; a seguito della concl,31/05/2012 958 mila euro; a seguito della conclusione favorevole del contenzioso per,e del contenzioso avviato da Leonardo Energ,zioso avviato da Leonardo Eners,s0 avviato da Leonardo Ene,gia per
pttenere la restituzione dei maggiori importi paga,pttenere la restituzione dei maggiori importi pagati. Il rimborso spettante a favore,ettante a favore di Leonardo Energia sarà inte,ore di Leonardo Energia sarà ins,di Leonardo Energia sarà ir,teramen
e riversato in favore di ADR; quale soggetto a suo,e riversato in favore di ADR; quale soggetto a suo tempo inciso indebitamente dell',lebitamente dell'accisa; unitamente agli inte,dell'accisa; unitamente agli int,l'accisa; unitamente agli in,eressi.
6.3 Costi per servizi,6.3 Costi per servizi,,,,
(migliaia di euro),(migliaia di euro),2022,2022,2022,2021
Costi per manutenzioni,Costi per manutenzioni,47.700,47.700,47.700,37.0
Costi per rinnovo infrastrutture aeroportuali,Costi per rinnovo infrastrutture aeroportuali,41.658,41.658,41.658,48.7
Costi per servizi esterni,Costi per servizi esterni,123.496,123.496,123.496,84.8
Costi per servizi di costruzione,Costi per servizi di costruzione,140.526,140.526,140.526,92.3
Pulizie e disinfestazioni,Pulizie e disinfestazioni,23.437,23.437,23.437,16.72
Prestazioni professionali,Prestazioni professionali,12.652,12.652,12.652,7.14
Servizi antincendio,Servizi antincendio,5.846,5.846,5.846,4.93
Altri costi,Altri costi,26.363,26.363,26.363,19.08
Compensi ad amministratori e sindaci,Compensi ad amministratori e sindaci,1.182,1182,1182,
TOTALE COSTI PER SERVIZI,TOTALE COSTI PER SERVIZI,422.860,422.860,422.860,311.60
