,,,,,,,,,,
Relazione sulla gestione,Bila,cio conse,solidato,Bila,ancio di,Esercizi,o D,elibera,dell'Ass,embE
5.1 Attività material,Li,,,,,,,,,
31.12.2021,VARIAZ,IONE,31.12.2022,,,,,,,
{,2,""" p 8",8,8 ;,8 &,,,,,
(migliaia di euro),8,il,8f,1,1,5 4/,90,;,:1,9@
Terreni e fabbricati,16.057,(389),15.668,1.372,(275),17.429,(664),16,,
Impianti e macchinari,81.663,(77.405),4.258,1.562,(2.894),178,82.847,(79.743),,
Attrezzature industriali e commerciali,15.169,(13.501),1.668,189,(572),415,15.706,(14.006),,
Altri beni,45.016,(33.064),11.952,5.612,(4.769),6.774,57.296,(37.727),19,
Immobilizzazioni in corso e acconti,9.965,9.965,4.017,(8.381),5.601,,,,,
"Diritto duso su Immobili, impianti, macchinari ed altri beni",5.801,(1.894),3.907,70,(1.330),(59),5.417,(2.829),,
