0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
,,(€/000),%,%,%,%,%,%,%,S/N,S/N,S/N,S/N,S/N,S/N,S/N,%,%,A,T
A. ATTIVITÀ AMMISSIBILI ALLA TASSONOMIA,,,,,,,,,,,,,,,,,,,,
A.1. Attività ecosostenibili (allineate alla Tassonomia),,,,,,,,,,,,,,,,,,,,
Trasmissione e distribuzione di energia elettrica,4.9,8.212,"11,5%",100%,0%,n/a,n/a,n/a,n/a,,S,,S,S,S,S,"11,5%",n/a,A,
"Distribuzione del teleriscaldamento/
teleraffrescamento",4.15,8.973,"12,6%",100%,0%,n/a,n/a,n/a,n/a,,S,S,,S,S,S,"12,6%",n/a,,
Infrastrutture per il trasporto ferroviario,6.14,1.424,2%,100%,0%,n/a,n/a,n/a,n/a,,S,S,S,S,S,S,2%,n/a,A,
"Infrastrutture aeroportuali a basse emissioni di
carbonio",6.17,1.065,"1,5%",100%,0%,n/a,n/a,n/a,n/a,,S,S,S,S,S,S,"1,5%",n/a,A,
Acquisto e proprietà di edifici,7.7,24.068,"33,8%",100%,0%,n/a,n/a,n/a,n/a,,S,,,,,S,"33,8%",n/a,,
"OpEx delle attività economiche ecosostenibili
(allineate alla Tassonomia) (A.1)",,43.741,"61,5%",100%,0%,0,0,0,0,,,,,,,,"61,5%",,,
"A.2 Attività ammisibili alla Tassonomia ma non
ecosostenibili (attività non allineate alla Tassonomia)",,,,,,,,,,,,,,,,,,,,
"Costruzione, espansione e gestione di sistemi di
raccolta, trattamento e fornitura di acqua",5.1,2.705,"3,8%",,,,,,,,,,,,,,,,,
"Infrastrutture aeroportuali a basse emissioni di
carbonio",6.17,130,"0,2%",,,,,,,,,,,,,,,,,
Acquisto e proprietà di edifici,7.7,14.237,20%,,,,,,,,,,,,,,,,,
"OpEx delle attività ammissibili alla Tassonomia
ma non ecosostenibili (attività non allineate alla
Tassonomia) (A.2)",,17.072,24%,,,,,,,,,,,,,,,,,
"OpEx totale delle attività ammissibili alla
Tassonomia (A.1 + A.2)",,60.814,"85,4%",,,,,,,,,,,,,,"61,5%",,,
"B. ATTIVITÀ NON AMMISSIBILI ALLA
TASSONOMIA",,,,,,,,,,,,,,,,,,,,
"OpEx totale delle attività ammissibili alla
Tassonomia",,10.359,"14,6%",,,,,,,,,,,,,,,,,
TOTALE (A + B),,71.173,100%,,,,,,,,,,,,,,,,,
