0,1,2,3,4
,3311..1122..22002222,ddii ccuuii ccoorrrreellaattee,,
Disponibilità liquide (A),(404.985),,(411.640),
Mezzi equivalenti a disponibilità liquide (B),(620.000),,(250.000),
Altre attività finanziarie correnti (C),(57.890),(1.350),(3.676),(1.350)
LIQUIDITA’ (D=A+B+C),(1.082.875),,(665.316),
"Debito finanziario corrente (inclusi gli strumenti di debito,
ma esclusa la parte corrente del debito finanziario non
corrente) (E)",83.910,,38.472,
Parte corrente del debito finanziario non corrente (F),298.764,131,37.903,129
INDEBITAMENTO FINANZIARIO CORRENTE (G=E+F),382.674,,76.375,
"INDEBITAMENTO FINANZIARIO CORRENTE NETTO
(H=G+D)",(700.201),,(588.941),
"Debito finanziario non corrente (esclusi la parte corrente e
gli Strumenti di debito) (I)",619.031,155,659.264,286
Strumenti di debito (J),1.273.005,,1.602.646,
Debiti commerciali e altri debiti correnti (K),0,,0,
"INDEBITAMENTO FINANZIARIO NON CORRENTE
(L=I+J+K)",1.892.036,,2.261.910,
"INDEBITAMENTO FINANZIARIO NETTO COME DA
RACCOMANDAZIONE ESMA DEL 4 MARZO 2021 (M=H+L)",1.191.835,,1.672.969,
Altre attività finanziarie non correnti (N),(17.429),,(718),
INDEBITAMENTO FINANZIARIO NETTO (O=M+L),1.174.406,,1.672.251,
