0,1,2,3,4,5
"Risposta
COVID-19","Gruppo ADR,
Clienti,
Catena di
fornitura","Diretto
Legato alle
relazioni di
business",n.a.,n.a.,"Garanzia dell’implementazione delle
misure anti-COVID e aumento della
capacità vaccinale e di testing."
"Gestione delle
operazioni
aeroportuali","Gruppo ADR
Stakeholder del
Gruppo","Diretto
Legato alle rela-
zioni di business","Performance Economiche
Pratiche di approvvigionamento
Valutazione dei fornitori su tematiche
sociali
Valutazione ambientale dei fornitori","201-1
204-1
414-1
308-1","Limitazione massima delle interruzioni
di servizio e aumento della qualità della
gestione del trasporto aereo e del pas-
seggero a 360 gradi."
Rumore,"Gruppo ADR
Comunità","Diretto
Legato alle
relazioni di
business",n.a.,n.a.,"Impatto acustico derivante dalle
operazioni aeroportuali"
"Intermodalità e
accessibilità","Gruppo ADR
Clienti
Sistema Paese","Diretto
Legato alle
relazioni di
business",n.a.,n.a.,"Riduzione delle emissioni climalteranti
legate alla mobilità dei passeggeri da e
per l’aeroporto"
Risk Management,"Gruppo ADR
Catena di
fornitura","Diretto
Legato alle
relazioni di
business",n.a.,n.a.,"Creazione di una cultura sulla
valutazione dei rischi e delle
opportunità. Ulteriore supporto
all’individuazione degli impatti del
sistema aeroportuale romano."
Airport security,"Gruppo ADR
Clienti
Catena di
fornitura","Diretto
Legato alle
relazioni di
business",n.a.,n.a.,"Prevenzione di atti di interferenza
illecita nelle operazioni aeroportuali."
"Coinvolgimento
comunità","Gruppo ADR
Comunità","Diretto
Legato alle
relazioni di
business","Impatti economici indiretti
Comunità locali","203-2
413-2","Creazione di awareness nelle comunità
locali sull’importanza delle attività
dell’aeroporto."
"Qualità del
servizio","Gruppo ADR
Clienti","Diretto
Legato alle
relazioni di
business",Formazione e istruzione,404-1,"Riconoscimento di FCO come aeroporto
di eccellenza."
"Rispetto
regolamentazione","Gruppo ADR
Sistema Paese","Diretto
Legato alle
relazioni di
business",n.a.,n.a.,"Monitoraggio continuo del contesto
regolatorio e normativo a livello
nazionale ed internazionale, ed annessa
integrazione e adeguamento del
framework operativo del Gruppo."
"Salute e
sicurezza dei
lavoratori","Gruppo ADR
Catena di
fornitura","Diretto
Legato alle
relazioni di
business",Salute e sicurezza sul lavoro,"403-1
403-2
403-3
403-4
403-5
403-6
403-7
403-9","Creazione e gestione di un luogo di
lavoro ai massimi standard di sicurezza e
aumento del well-being dei lavoratori"
