0,1,2,3,4,5
ATTIVITÀ NON CORRENTI,,,,,
Attività materiali,5.1,49.326.805,,47.417.819,
Diritti concessori,,2.495.157.244,,2.452.595.958,
Altre attività immateriali,,62.465.204,,44.712.100,
Attività immateriali,5.2,2.557.622.448,,2.497.308.058,
Partecipazioni,5.3,54.178.210,,52.949.250,
Altre attività finanziarie non correnti,5.4,17.428.735,,717.757,
Attività per imposte anticipate,5.5,43.184.750,,91.685.524,
Altre attività non correnti,5.6,432.768,,445.070,
TOTALE ATTIVITÀ NON CORRENTI,,2.722.173.716,,2.690.523.478,
ATTIVITÀ CORRENTI,,,,,
Rimanenze,,4.284.548,,4.424.273,
Crediti commerciali,,213.943.024,20.788.519,184.281.748,9.513.996
Attività commerciali,5.7,218.227.572,20.788.519,188.706.021,9.513.996
Altre attività finanziarie correnti,5.4,57.889.503,1.350.000,3.676.091,1.350.000
Attività per imposte correnti,5.8,26.518.077,26.438.810,75.633.783,75.554.516
Altre attività correnti,5.9,30.825.799,3.235.945,256.918.676,471.549
Disponibilità liquide e mezzi equivalenti,5.10,995.184.651,2.567.433,638.617.202,6.993.394
TOTALE ATTIVITÀ CORRENTI,,1.328.645.602,54.380.707,1.163.551.773,93.883.455
TOTALE ATTIVITÀ,,4.050.819.318,54.380.707,3.854.075.251,93.883.455
