0,1,2,3,4,5,6,7,8,9
,,,,,,,,,
,"-nalib
id
erol","etnerroc
ato","-roc
non
ato etn","art
aznedacs
inna
5","aznedacs inna
5
i
er",,"-nalib
id
erol","etnerroc
atouQ","-roc
non
atouQ etner"
(migliaia di euro),aV oic,uQ,uQ er,"nI e
1","tlo
nI",,,,
"PASSIVITÀ FINANZIARIE A MEDIO/LUNGO
TERMINE",,,,,,,,,
Prestiti obbligazionari,1.515.063,242.058,1.273.005,481.840,791.165,,1.521.416,0,1.521.416
Finanziamenti a medio/lungo termine,656.637,39.423,617.214,357.584,259.630,,674.244,17.884,656.360
"Ratei passivi debiti finanziari a medio/
lungo termine",16.059,16.059,0,0,0,,18.541,18.541,0
Altre passività finanziarie,2.611,1.060,1.551,1.391,160,,3.925,1.333,2.592
"TOTALE PASSIVITÀ FINANZIARIE A MEDIO/
LUNGO TERMINE",2.190.370,298.600,1.891.770,840.815,1.050.955,,2.218.126,37.758,2.180.368
STRUMENTI FINANZIARI – DERIVATI,83.910,83.910,0,0,0,,119.702,38.472,81.230
"ALTRE PASSIVITÀ FINANZIARIE
CORRENTI",38.031,38.031,0,0,0,,13.636,13.636,0
TOTALE PASSIVITÀ FINANZIARIE,2.312.311,420.541,1.891.770,840.815,1.050.955,,2.351.464,89.866,2.261.598
