0,1,2,3,4
,,2021,Delta,
Ricavi da gestione aeroportuale di cui:,640.739,289.066,351.673,"121,7%"
Ricavi aviation,457.026,198.090,258.936,"130,7%"
Ricavi non aviation,183.713,90.976,92.737,"101,9%"
Ricavi per servizi di costruzione,149.099,98.581,50.518,"51,2%"
Altri ricavi operativi,10.807,228.595,(217.788),"(95,3%)"
TOTALE RICAVI,800.645,616.242,184.403,"29,9%"
Costi esterni gestionali,(260.493),(187.745),(72.748),"38,7%"
Costi totali dei servizi di costruzione,(149.100),(98.872),(50.228),"50,8%"
Canoni concessori,(26.352),(10.034),(16.318),"162,6%"
Costo del personale netto,(91.650),(67.640),(24.010),"35,5%"
(Accantonamenti) riassorbimenti fondi per rischi ed oneri,1.899,(3.582),5.481,"(153,0%)"
TOTALE COSTI OPERATIVI NETTI,(525.696),(367.873),(157.823),"42,9%"
MARGINE OPERATIVO LORDO (EBITDA),274.949,248.369,26.580,"10,7%"
"Ammortamenti, svalutazioni e ripristini di valore",(108.844),(103.034),(5.810),"5,6%"
Accantonamenti per rinnovi e altri stanziamenti rettificativi,(55.746),(202.865),147.119,"(72,5%)"
RISULTATO OPERATIVO (EBIT),110.359,(57.530),167.889,"(291,8%)"
Proventi (oneri) finanziari,(64.680),(62.070),(2.610),"4,2%"
"RISULTATO PRIMA DELLE IMPOSTE DELLE ATTIVITÀ OPERATIVE
IN FUNZIONAMENTO",45.679,(119.600),165.279,"(138,2%)"
Imposte,(14.938),74.732,(89.670),"(120,0%)"
RISULTATO NETTO ATTIVITÀ OPERATIVE IN FUNZIONAMENTO,30.741,(44.868),75.609,"(168,5%)"
Risultato netto attività operative cessate,0,0,0,"0,0%"
UTILE (PERDITA) DELL’ESERCIZIO,30.741,(44.868),75.609,"(168,5%)"
