0,1,2
Utile (perdita) dell’esercizio,45.059,(37.958)
Rettificato da:,,
Ammortamenti,111.643,105.463
Accantonamenti al fondo rinnovo infrastrutture aeroportuali,56.964,64.661
Oneri finanziari da attualizzazione fondi,1.646,44
Variazione altri fondi,(2.598),(4.731)
"Quota dell’utile (perdita) di partecipazioni collegate
contabilizzate in base al metodo del patrimonio netto",1.398,1.385
Variazione netta delle (attività) passività per imposte (anticipate) differite,24.508,(12.552)
Altri costi (ricavi) non monetari,13.586,11.798
Variazioni del capitale circolante e altre variazioni,352.598,(214.056)
Flusso di cassa netto da attività operativa (A),604.804,(85.945)
Investimenti in attività materiali (*),(13.704),(12.418)
Investimenti in attività immateriali (**),(160.567),(117.688)
Interventi di rinnovo infrastrutture aeroportuali,(41.080),(47.576)
Investimenti in partecipazioni e in quote di minoranza di società consolidate,(2.386),0
"Investimenti in società consolidate, al netto delle disponibilità
liquide nette apportate",0,(13.451)
"Realizzo da disinvestimenti e altre variazioni di attività materiali,
immateriali e partecipazioni",1.012,4.800
Variazione netta delle altre attività non correnti,9,23
Flusso di cassa netto da attività di investimento (B),(216.716),(186.310)
Emissione di prestiti obbligazionari,0,491.643
Rimborsi di prestiti obbligazionari,0,(400.001)
Rimborsi di finanziamenti a medio-lungo termine,(17.885),(212.500)
Variazione netta delle altre passività finanziarie correnti e non correnti,(3.833),(42.050)
Variazione netta delle attività finanziarie correnti e non correnti,(3.025),(426)
Flusso di cassa netto da attività di finanziamento (C),(24.743),(163.334)
FLUSSO DI CASSA NETTO DELL’ESERCIZIO (A+B+C),363.345,(435.589)
Disponibilità liquide e mezzi equivalenti all’inizio dell’esercizio,661.640,1.097.229
Disponibilità liquide e mezzi equivalenti alla fine dell’esercizio,1.024.985,661.640
