0,1,2
2-9,Struttura e composizione della governance,"4.2 Modello di governance
4.3 Management"
2-10,Nomina e selezione del massimo organo di governo,"4.2 Modello di governance
4.3 Management"
2-11,Presidente del massimo organo di governo,4.3 Management
2-12,"Ruolo del massimo organo di governo nella supervisione della
gestione degli impatti","3.1 Sistema di gestione dei rischi
3.2 Mappatura dei rischi e relativi presidi di controllo
4.2 Modello di governance"
2-13,Delega di responsabilità per gestione degli impatti,"3.1 Sistema di gestione dei rischi
3.2 Mappatura dei rischi e relativi presidi di controllo
4.3 Management"
2-14,Ruolo del più alto organo di governo nel reporting di sostenibilità,"9.1 Nota metodologica
9.2 Materialità"
2-15,Conflitti di interesse,"4.4 Etica e compliance
4.5 Modello di organizzazione, gestione e controllo"
2-16,Comunicazione delle criticità,4.4 Etica e compliance
2-17,Competenze del massimo organo di governo,4.2 Modello di governance
2-18,Valutazione delle performance del massimo organo di governo,Informazione non disponibile.
2-19,Politiche retributive,4.3 Management
