0,1,2
UTILE (PERDITA) DELL’ESERCIZIO,30.741,(44.868)
Rettificato da:,,
Ammortamenti,108.844,103.034
Accantonamenti al fondo rinnovo infrastrutture aeroportuali,56.637,65.915
Oneri finanziari da attualizzazione fondi,1.459,24
Variazioni altri fondi,(2.333),(3.903)
Svalutazione (rivalutazione) di attività finanziarie non correnti e partecipazioni,1.156,0
Variazione netta delle (attività) passività per imposte (anticipate) differite,22.517,(13.135)
Altri costi (ricavi) non monetari,13.581,11.794
Variazioni del capitale circolante e altre variazioni,355.313,(221.004)
FLUSSO DI CASSA NETTO DA ATTIVITÀ OPERATIVA (A),587.915,(102.143)
Investimenti in attività materiali (*),(12.822),(11.884)
Investimenti in attività immateriali (**),(190.208),(114.817)
Interventi di rinnovo infrastrutture aeroportuali,(41.657),(48.774)
Investimenti in partecipazioni,(2.385),(24.056)
"Realizzo da disinvestimenti e altre variazioni di attività materiali, immateriali e partecipazioni",16.028,13.334
Variazione netta delle altre attività non correnti,12,11
FLUSSO DI CASSA NETTO DA ATTIVITÀ DI INVESTIMENTO (B),(231.032),(186.186)
Emissione di prestiti obbligazionari,0,491.643
Rimborsi di prestiti obbligazionari,0,(400.001)
Rimborsi di finanziamenti a medio-lungo termine,(17.885),(212.500)
Variazione netta delle altre passività finanziarie correnti e non correnti,(3.800),(42.462)
Variazione netta delle attività finanziarie correnti e non correnti,(3.025),(426)
FLUSSO DI CASSA NETTO DA ATTIVITÀ DI FINANZIAMENTO (C),(24.710),(163.746)
FLUSSO DI CASSA NETTO DELL’ESERCIZIO (A+B+C),332.173,(452.075)
Disponibilità liquide nette e mezzi equivalenti all’inizio dell’esercizio,624.981,1.077.056
Disponibilità liquide nette e mezzi equivalenti alla fine dell’esercizio,957.154,624.981
