0,1,2
ONERI FINANZIARI DA ATTUALIZZAZIONE DEL FONDO RINNOVO INFRASTRUTTURE AEROPORTUALI,1.191,(16)
Interessi su prestiti obbligazionari,35.243,34.407
Interessi su finanziamenti a medio-lungo termine,8.924,8.761
Interessi a imprese controllate,2,1
Effetti dell’applicazione del metodo del costo ammortizzato,8.171,7.761
Altri oneri finanziari per interessi,159,314
TOTALE ONERI FINANZIARI PER INTERESSI,52.499,51.244
Valutazione derivati,13.458,0
Differenziali,14.021,11.601
TOTALE ONERI SU DERIVATI,27.479,11.601
Oneri finanziari da attualizzazione benefici per i dipendenti,269,39
Svalutazione di partecipazioni valutate al costo,1.156,0
Altri oneri,29,29
TOTALE ALTRI ONERI,1.454,68
TOTALE ONERI FINANZIARI,82.623,62.897
