0,1,2,3,4
Ricavi da gestione aeroportuale di cui:,643.727,296.866,346.861,"116,8%"
Ricavi aviation,457.023,198.117,258.906,"130,7%"
Ricavi non aviation,186.704,98.749,87.955,"89,1%"
Ricavi per servizi di costruzione,144.091,104.783,39.308,"37,5%"
Altri ricavi operativi,20.019,231.846,(211.827),"(91,4%)"
TOTALE RICAVI,807.837,633.495,174.342,"27,5%"
Costi esterni gestionali,(173.583),(134.327),(39.256),"29,2%"
Costi totali dei servizi di costruzione,(136.454),(101.830),(34.624),"34,0%"
Canoni concessori,(26.352),(10.034),(16.318),"162,6%"
Costo del personale netto,(173.572),(121.434),(52.138),"42,9%"
(Accantonamenti) riassorbimenti fondi per rischi ed oneri,1.770,(4.573),6.343,"(138,7%)"
TOTALE COSTI OPERATIVI NETTI,(508.191),(372.198),(135.993),"36,5%"
MARGINE OPERATIVO LORDO (EBITDA),299.646,261.297,38.349,"14,7%"
"Ammortamenti, svalutazioni e ripristini di valore",(111.643),(105.463),(6.180),"5,9%"
Accantonamenti per rinnovi e altri stanziamenti rettificativi,(56.098),(201.696),145.598,"(72,2%)"
RISULTATO OPERATIVO (EBIT),131.905,(45.862),177.767,"(387,6%)"
Proventi (oneri) finanziari,(63.944),(62.161),(1.783),"2,9%"
"Quota dell’utile (perdita) di partecipazioni collegate contabilizzate in base
al metodo del patrimonio netto",(1.398),(1.385),(13),"0,9%"
"RISULTATO PRIMA DELLE IMPOSTE DELLE ATTIVITÀ OPERATIVE IN
FUNZIONAMENTO",66.563,(109.408),175.971,"(160,8%)"
Imposte,(21.504),71.450,(92.954),"(130,1%)"
RISULTATO NETTO ATTIVITÀ OPERATIVE IN FUNZIONAMENTO,45.059,(37.958),83.017,"(218,7%)"
Risultato netto attività operative cessate,0,0,0,"0,0%"
UTILE (PERDITA) DELL’ESERCIZIO,45.059,(37.958),83.017,"(218,7%)"
Utile (perdita) dell’esercizio di competenza di terzi azionisti,0,77,(77),"(100,0%)"
UTILE (PERDITA) DELL’ESERCIZIO DI COMPETENZA DEL GRUPPO,45.059,(38.035),83.094,"(218,5%)"
