0,1,2
VALORE INIZIALE FONDO TFR,,9.407
Costo corrente,0,
Interessi passivi,269,
Totale costi rilevati a conto economico,,269
Liquidazioni/utilizzi,,(312)
Utili/perdite attuariali da variazioni nelle ipotesi demografiche,(29),
Utili/perdite attuariali da variazioni nelle ipotesi finanziarie,(1.449),
Effetto dell’esperienza passata,625,
"Totale utili/perdite attuariali rilevate nelle altre componenti del conto
economico complessivo",,(853)
Altre variazioni,,14
VALORE FINALE FONDO TFR,,8.525
di cui:,,
quota non corrente,,7.533
quota corrente,,992
