0,1,2,3
UTILE (PERDITA) DELL’ESERCIZIO,,30.740.510,(44.867.618)
Quota strumenti finanziari derivati di copertura cash flow hedge,8.3,100.982.622,42.133.387
Effetto fiscale,,(24.235.827),(10.112.013)
"ALTRE COMPONENTI DEL CONTO ECONOMICO COMPLESSIVO RICLASSIFICABILI
NEL CONTO ECONOMICO, AL NETTO DELL’EFFETTO FISCALE",,76.746.795,32.021.374
Utili (perdite) da valutazione attuariale di fondi per benefici ai dipendenti,5.12,852.548,(152.595)
Effetto fiscale,,(204.720),36.720
Utili (perdite) da valutazione al fair value delle partecipazioni,5.3,0,(13.020.054)
"ALTRE COMPONENTI DEL CONTO ECONOMICO COMPLESSIVO CHE NON SARANNO
SUCCESSIVAMENTE RICLASSIFICATE NEL CONTO ECONOMICO, AL NETTO
DELL’EFFETTO FISCALE",,647.828,(13.135.929)
"RICLASSIFICHE DELLE ALTRE COMPONENTI DEL CONTO ECONOMICO
COMPLESSIVO NEL CONTO ECONOMICO DELL’ESERCIZIO",8.3,4.883.296,3.223.896
"TOTALE DELLE ALTRE COMPONENTI DEL CONTO ECONOMICO COMPLESSIVO, AL
NETTO DELL’EFFETTO FISCALE",,82.277.919,22.109.341
UTILE (PERDITA) COMPLESSIVO DELL’ESERCIZIO,,113.018.429,(22.758.277)
