0,1,2,3,4,5,6
,,,,,,
IMPOSTE ANTICIPATE,,,,,,
"Accantonamenti (utilizzi) del fondo rinnovo
infrastrutture aeroportuali",29.971,2.961,(2.504),0,30.428,
Accantonamenti a fondo svalutazione magazzino,43,12,0,0,55,
Accantonamenti a fondo svalutazione crediti,39.155,0,(509),0,38.646,
Costo ammortizzato e strumenti derivati,24.179,0,(25),(25.776),(1.622),
Fondi rischi e oneri,4.486,466,(886),0,4.066,
Perdite fiscali e ACE,30.478,795,(23.455),0,7.818,
Altre,1.416,461,(404),(207),1.266,
TOTALE IMPOSTE ANTICIPATE,129.728,4.695,(27.783),(25.983),80.657,
IMPOSTE DIFFERITE COMPENSABILI,,,,,,
Costo ammortizzato e strumenti derivati,16,0,0,0,16,
Applicazione IFRIC 12,38.026,1.234,(1.804),0,37.456,
TOTALE IMPOSTE DIFFERITE,38.042,1.234,(1.804),0,37.472,
TOTALE IMPOSTE ANTICIPATE NETTE,91.686,3.461,(25.979),(25.983),43.185,
