0,1,2,3
,31.12.2022,202131.12.2021,
Passività finanziarie non correnti,1.891.771,2.261.598,(369.827)
Prestiti obbligazionari,1.273.005,1.521.416,(248.411)
Finanziamenti a medio-lungo termine,617.214,656.360,(39.146)
Strumenti finanziari - derivati,0,81.230,(81.230)
Altre passività finanziarie non correnti,1.552,2.592,(1.040)
Altre attività finanziarie non correnti,(17.429),(718),(16.711)
INDEBITAMENTO FINANZIARIO NETTO NON CORRENTE,1.874.342,2.260.880,(386.538)
Passività finanziarie correnti,420.541,89.866,330.675
Quota corrente di passività finanziarie a medio-lungo termine,298.600,37.758,260.842
Strumenti finanziari - derivati,83.910,38.472,45.438
Altre passività finanziarie correnti,38.031,13.636,24.395
Attività finanziarie correnti,(1.053.075),(642.293),(410.782)
Disponibilità liquide e mezzi equivalenti,(995.185),(638.617),(356.568)
Altre attività finanziarie correnti,(57.890),(3.676),(54.214)
INDEBITAMENTO FINANZIARIO NETTO CORRENTE,(632.534),(552.427),(80.107)
INDEBITAMENTO FINANZIARIO NETTO,1.241.808,1.708.453,(466.645)
