0,1,2
UTILE (PERDITA) DELL’ESERCIZIO,,(37.958)
,45.059,
Quota strumenti finanziari derivati di copertura cash flow hedge,100.982,42.133
Effetto fiscale,(24.235),(10.112)
"Quota di pertinenza delle “altre componenti dell’utile complessivo” delle partecipazioni valutate con il metodo del
patrimonio netto",(26),9
"ALTRE COMPONENTI DEL CONTO ECONOMICO COMPLESSIVO RICLASSIFICABILI NEL CONTO
ECONOMICO, AL NETTO DELL’EFFETTO FISCALE",76.721,32.030
Utili (perdite) da valutazione attuariale di fondi per benefici ai dipendenti,1.624,(427)
Effetto fiscale,(390),103
Utili (perdite) da valutazione al fair value delle partecipazioni,0,(13.020)
"ALTRE COMPONENTI DEL CONTO ECONOMICO COMPLESSIVO CHE NON SARANNO
SUCCESSIVAMENTE RICLASSIFICATE NEL CONTO ECONOMICO, AL NETTO DELL’EFFETTO FISCALE",1.234,(13.344)
"RICLASSIFICHE DELLE ALTRE COMPONENTI DEL CONTO ECONOMICO COMPLESSIVO NEL CONTO
ECONOMICO DELL’ESERCIZIO",4.883,3.224
"TOTALE DELLE ALTRE COMPONENTI DEL CONTO ECONOMICO COMPLESSIVO, AL NETTO
DELL’EFFETTO FISCALE",82.838,21.910
UTILE (PERDITA) COMPLESSIVO DELL’ESERCIZIO,127.897,(16.048)
Di cui:,,
Utile (perdita) di pertinenza del Gruppo,127.897,(16.125)
Utile (perdita) di pertinenza di Terzi,0,77
